date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:39:43	23005/23005	---M-Z	200	added ('OK')	application/rss+xml	etag:%2234de35707ac2d39514d688fa8dd114a9%22	https://www.weezbe.com/blog/tag/google/feed/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/google/feed/index.html	(from https://www.weezbe.com/blog/tag/google/)
00:39:44	39557/39557	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2021:14:18%20GMT	https://www.weezbe.com/blog/referencement-google-fil-d-ariane/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/referencement-google-fil-d-ariane/index.html	(from https://www.weezbe.com/blog/tag/google/)
00:39:44	31147/31147	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Sep%202018%2006:59:37%20GMT	https://www.weezbe.com/blog/tag/barre-de-navigation/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/barre-de-navigation/index.html	(from https://www.weezbe.com/blog/tag/google/)
00:39:44	31107/31107	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Sep%202018%2012:14:47%20GMT	https://www.weezbe.com/blog/tag/fil-dariane/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/fil-dariane/index.html	(from https://www.weezbe.com/blog/tag/google/)
00:39:45	31567/31567	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Sep%202018%2013:04:37%20GMT	https://www.weezbe.com/blog/tag/bing/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/bing/index.html	(from https://www.weezbe.com/blog/tag/google/)
00:39:45	38684/38684	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Oct%202018%2022:39:45%20GMT	https://www.weezbe.com/blog/tag/sea/linkid.js	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/sea/linkid.221.delayed	(from https://www.weezbe.com/blog/tag/sea/)
00:39:45	31576/31576	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Sep%202018%2012:25:24%20GMT	https://www.weezbe.com/blog/tag/qwant/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/qwant/index.html	(from https://www.weezbe.com/blog/tag/google/)
00:39:46	7986/7986	---M-Z	200	added ('OK')	application/rss+xml	etag:%2234de35707ac2d39514d688fa8dd114a9%22	https://www.weezbe.com/blog/tag/sea/feed/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/sea/feed/index.html	(from https://www.weezbe.com/blog/tag/sea/)
00:39:46	38684/38684	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Oct%202018%2022:39:46%20GMT	https://www.weezbe.com/blog/tag/seo/linkid.js	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/seo/linkid.js	(from https://www.weezbe.com/blog/tag/seo/)
00:39:46	23599/23599	---M-Z	200	added ('OK')	application/rss+xml	etag:%2234de35707ac2d39514d688fa8dd114a9%22	https://www.weezbe.com/blog/tag/seo/feed/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/tag/seo/feed/index.html	(from https://www.weezbe.com/blog/tag/seo/)
00:39:46	38688/38688	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Oct%202018%2022:39:47%20GMT	https://www.weezbe.com/blog/aujourdhui-romuald-a-diffuse-1-produit-sur-les-comparo-avec-les-pompes-a-roro-en-titre/linkid.js	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/aujourdhui-romuald-a-diffuse-1-produit-sur-les-comparo-avec-les-pompes-a-roro-en-titre/linkid.js	(from https://www.weezbe.com/blog/aujourdhui-romuald-a-diffuse-1-produit-sur-les-comparo-avec-les-pompes-a-roro-en-titre/)
00:39:47	1078/1078	---M-Z	200	added ('OK')	application/rss+xml	etag:%2271c25707ab27be329d6846b5cf113d3e%22	https://www.weezbe.com/blog/aujourdhui-romuald-a-diffuse-1-produit-sur-les-comparo-avec-les-pompes-a-roro-en-titre/feed/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/aujourdhui-romuald-a-diffuse-1-produit-sur-les-comparo-avec-les-pompes-a-roro-en-titre/feed/index.html	(from https://www.weezbe.com/blog/aujourdhui-romuald-a-diffuse-1-produit-sur-les-comparo-avec-les-pompes-a-roro-en-titre/)
00:39:47	2837/2837	---MCZ	200	added ('OK')	application/json	date:Mon,%2022%20Oct%202018%2022:39:48%20GMT	https://www.weezbe.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.weezbe.com%2Fblog%2Faujourdhui-romuald-a-diffuse-1-produit-sur-les-comparo-avec-les-pompes-a-roro-en-titre%2F	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-json/oembed/1.0/embedb459.json	(from https://www.weezbe.com/blog/aujourdhui-romuald-a-diffuse-1-produit-sur-les-comparo-avec-les-pompes-a-roro-en-titre/)
00:39:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Oct%202018%2022:39:48%20GMT	https://www.weezbe.com/?p=3449	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/index7d7e.html	(from https://www.weezbe.com/blog/aujourdhui-romuald-a-diffuse-1-produit-sur-les-comparo-avec-les-pompes-a-roro-en-titre/)
00:39:47	2969/2969	---MCZ	200	added ('OK')	text/xml	date:Mon,%2022%20Oct%202018%2022:39:48%20GMT	https://www.weezbe.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.weezbe.com%2Fblog%2Faujourdhui-romuald-a-diffuse-1-produit-sur-les-comparo-avec-les-pompes-a-roro-en-titre%2F&format=xml	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-json/oembed/1.0/embedb142	(from https://www.weezbe.com/blog/aujourdhui-romuald-a-diffuse-1-produit-sur-les-comparo-avec-les-pompes-a-roro-en-titre/)
00:39:48	20460/20460	---M--	200	added ('OK')	image/png	etag:%224f5f0e40-4fec%22	https://www.weezbe.com/wp-content/uploads/google_shopping.png	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-content/uploads/google_shopping-2.png	(from https://www.weezbe.com/blog/aujourdhui-romuald-a-diffuse-1-produit-sur-les-comparo-avec-les-pompes-a-roro-en-titre/)
00:39:48	39200/39200	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Sep%202018%2001:16:16%20GMT	https://www.weezbe.com/blog/beaute-premier-la-beaute-naturelle/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/beaute-premier-la-beaute-naturelle/index.html	(from https://www.weezbe.com/blog/aujourdhui-romuald-a-diffuse-1-produit-sur-les-comparo-avec-les-pompes-a-roro-en-titre/)
